pref,height,weight,food,sleep,sports
北海道,170.4,63.7,65739,477,15
青森県,169.8,62.8,64889,490,13
岩手県,170.6,63.7,70156,489,13
宮城県,169.8,63.4,73337,482,15
秋田県,170.6,66.1,74560,493,14
山形県,170.9,63.9,76000,497,12
福島県,170.2,63.9,71074,480,13
茨城県,169.7,62.4,74341,467,17
栃木県,169.8,63.3,74387,472,16
群馬県,170.5,62.7,71701,475,15
埼玉県,170.4,61.1,76663,463,15
千葉県,170.3,62.4,77639,458,15
東京都,170.5,61.3,83506,461,16
神奈川県,170.9,62.5,77510,456,17
新潟県,170.9,62,75937,479,13
富山県,170.8,63.5,73589,471,15
石川県,170.8,62.9,76256,470,16
福井県,170.4,62.5,79478,476,14
山梨県,170.1,61.7,71294,481,16
長野県,169.5,61,72228,474,17
岐阜県,169.9,60.6,69527,469,13
静岡県,170.1,61.9,75833,474,19
愛知県,169.6,60.9,74694,463,14
三重県,170.4,62.1,75721,473,16
滋賀県,170.6,62.9,77978,470,18
京都府,170.5,62,76904,464,16
大阪府,170.2,62.2,74015,469,18
兵庫県,169.6,60.6,72847,466,15
奈良県,169.9,61.8,74888,461,18
和歌山県,170,62.6,69858,479,15
鳥取県,170.4,62.7,73321,475,14
島根県,169.7,60.7,72160,483,16
岡山県,169.6,61.7,69060,475,17
広島県,168.8,60.8,69061,473,15
山口県,169.2,60.2,69882,472,17
徳島県,169.9,64.4,67102,472,18
香川県,169.9,62.7,68400,469,18
愛媛県,168.8,61.8,67274,474,16
高知県,169.1,61.8,70188,484,16
福岡県,169.7,60.9,70135,471,14
佐賀県,169.2,62.2,68749,473,16
長崎県,170.1,63.3,66641,473,18
熊本県,169.5,61.8,66184,482,20
大分県,169.3,62.5,69255,479,18
宮崎県,168.7,61.8,65165,477,19
鹿児島県,169.7,61.4,65377,479,18
沖縄県,168.7,60.6,56298,482,20