Country,Paid,Unpaid,Care
Australia,20.3,10.5,2.2
Austria,22.5,9.4,1.5
Belgium,15.6,9.7,0.8
Canada,22.1,10.3,1.7
Estonia,21,11.5,1.8
Finland,15.4,11.2,1
France,14.5,9.7,1
Germany,17.4,9.8,1.4
Italy,14.5,8.2,1.2
Japan,26.3,4.7,0.5
Korea,26.5,3,0.8
Latvia,24.2,8.8,1.2
Mexico,30,4.4,3.5
New Zealand,19.9,11.3,1.1
Norway,18.6,11.7,1.6
Poland,21.7,6.2,1.5
Slovenia,18.9,11.4,1.6
Spain,14.8,8.9,2
Sweden,20.1,10,1.8
Turkey,20.2,2.6,3.5
United Kingdom,20.1,9.5,1.6
United States,20.4,10.2,1.6